,School,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS,Link,DraftStatus,Season
2341,Fresno State,29,27,29.6,4.5,9.7,.461,1.2,3.0,.402,1.9,2.7,.709,1.1,3.0,4.1,2.0,0.9,0.2,2.8,1.4,12.1,https://basketball.realgm.com/player/Tyler-Johnson/NCAA/23365/2013/By_Season/Per_Game,Undrafted,2012-13
2342,Fresno State,33,23,29.6,3.4,8.1,.422,0.7,2.2,.315,1.8,2.6,.686,1.7,2.9,4.6,2.5,1.3,0.3,3.3,1.2,9.3,https://basketball.realgm.com/player/Tyler-Johnson/NCAA/23365/2012/By_Season/Per_Game,Undrafted,2011-12
2343,Fresno State,31,1,16.9,1.7,3.8,.441,0.1,0.9,.143,0.9,1.6,.540,1.3,1.7,2.9,2.0,1.1,0.3,1.6,1.5,4.4,https://basketball.realgm.com/player/Tyler-Johnson/NCAA/23365/2011/By_Season/Per_Game,Undrafted,2010-11
2344,Fresno State,35,35,33.6,5.6,11.7,0.479,1.6,3.8,0.43200000000000005,3.1,3.8,0.805,1.7,5.6,7.3,2.9,1.0,0.4,2.8,1.3,15.9,https://basketball.realgm.com/player/Tyler-Johnson/NCAA/23365/2014/By_Season/Per_Game,Undrafted,2013-14
2345,Providence,35,35,39.9,6.6,15.7,.419,2.2,6.0,.367,6.5,7.6,.853,0.5,3.0,3.5,5.8,1.0,0.1,1.5,2.4,21.8,https://basketball.realgm.com/player/Bryce-Cotton/NCAA/22416/2014/By_Season/Per_Game,Undrafted,2013-14
2346,Providence,32,31,37.8,6.1,13.9,.437,3.1,8.4,.364,4.4,5.6,.793,0.7,2.9,3.6,2.9,0.9,0.1,1.2,1.4,19.7,https://basketball.realgm.com/player/Bryce-Cotton/NCAA/22416/2013/By_Season/Per_Game,Undrafted,2012-13
2347,Providence,32,32,38.6,4.5,11.0,.413,2.4,6.3,.379,2.8,3.2,.891,0.4,2.1,2.5,2.2,1.0,0.2,1.6,1.6,14.3,https://basketball.realgm.com/player/Bryce-Cotton/NCAA/22416/2012/By_Season/Per_Game,Undrafted,2011-12
2348,Providence,31,1,15.3,1.3,3.4,.387,0.5,1.7,.259,0.9,1.2,.784,0.5,1.1,1.5,0.5,0.7,0.0,0.5,0.3,4.0,https://basketball.realgm.com/player/Bryce-Cotton/NCAA/22416/2011/By_Season/Per_Game,Undrafted,2010-11
2349,Providence,35,35,39.9,6.6,15.7,.419,2.2,6.0,.367,6.5,7.6,.853,0.5,3.0,3.5,5.8,1.0,0.1,1.5,2.4,21.8,https://basketball.realgm.com/player/Bryce-Cotton/NCAA/22416/2014/By_Season/Per_Game,Undrafted,2013-14
2350,Rhode Island,32,32,35.6,5.8,14.3,.402,1.9,5.9,.326,3.5,4.9,.707,0.6,3.4,4.0,2.4,1.1,0.4,2.0,2.8,16.9,https://basketball.realgm.com/player/Xavier-Munford/NCAA/42842/2014/By_Season/Per_Game,Undrafted,2013-14
2351,Rhode Island,29,29,35.4,5.8,14.7,.394,2.3,6.8,.343,3.4,4.8,.714,0.3,2.6,2.8,1.9,1.0,0.3,2.4,2.7,17.4,https://basketball.realgm.com/player/Xavier-Munford/NCAA/42842/2013/By_Season/Per_Game,Undrafted,2012-13
2352,Rhode Island,32,32,35.6,5.8,14.3,.402,1.9,5.9,.326,3.5,4.9,.707,0.6,3.4,4.0,2.4,1.1,0.4,2.0,2.8,16.9,https://basketball.realgm.com/player/Xavier-Munford/NCAA/42842/2014/By_Season/Per_Game,Undrafted,2013-14
2353,Gonzaga,36,36,27.8,2.6,5.9,.434,0.4,1.9,.232,1.9,2.5,.756,0.2,2.1,2.4,4.2,1.5,0.2,2.2,2.0,7.4,https://basketball.realgm.com/player/David-Stockton/NCAA/8325/2014/By_Season/Per_Game,Undrafted,2013-14
2354,Gonzaga,35,1,18.7,1.4,3.4,.407,0.4,1.5,.288,0.5,0.9,.548,0.1,1.6,1.7,3.4,1.5,0.0,1.3,1.2,3.7,https://basketball.realgm.com/player/David-Stockton/NCAA/8325/2013/By_Season/Per_Game,Undrafted,2012-13
2355,Gonzaga,33,1,16.8,1.1,2.9,.385,0.6,1.5,.392,0.9,1.5,.592,0.1,0.9,1.0,2.4,0.8,0.1,1.2,1.5,3.7,https://basketball.realgm.com/player/David-Stockton/NCAA/8325/2012/By_Season/Per_Game,Undrafted,2011-12
2356,Gonzaga,34,0,15.6,1.4,2.9,.460,0.6,1.7,.333,0.9,1.1,.838,0.1,1.2,1.3,2.1,0.9,0.1,1.9,1.1,4.2,https://basketball.realgm.com/player/David-Stockton/NCAA/8325/2011/By_Season/Per_Game,Undrafted,2010-11
2357,Gonzaga,1,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://basketball.realgm.com/player/David-Stockton/NCAA/8325/2010/By_Season/Per_Game,Undrafted,2009-10
2358,Gonzaga,36,36,27.8,2.6,5.9,.434,0.4,1.9,.232,1.9,2.5,.756,0.2,2.1,2.4,4.2,1.5,0.2,2.2,2.0,7.4,https://basketball.realgm.com/player/David-Stockton/NCAA/8325/2014/By_Season/Per_Game,Undrafted,2013-14
