,School,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS,Link,DraftStatus,Season,SeasonStart,SeasonEnd
3204,Indiana,35,8,20.1,2.1,4.9,0.419,1.9,4.5,0.417,0.5,0.6,0.905,0.3,1.3,1.6,0.8,0.2,0.1,1.3,0.5,6.5,https://basketball.realgm.com/player/Nick-Zeisloft/NCAA/30528/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3206,Oregon,38,35,25.8,4.2,7.7,0.537,1,3,0.339,2.7,3.9,0.685,2.7,4.7,7.4,0.4,0.8,2.9,2.7,1.1,12,https://basketball.realgm.com/player/Chris-Boucher/NCAA/90843/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3209,Southeast Missouri State,26,24,31.4,5.8,13.2,0.437,0.3,1.8,0.174,3.3,5.4,0.61,2.4,4.2,6.6,2.3,1.6,0.6,2.8,2.3,15.2,https://basketball.realgm.com/player/Antonius-Cleveland/NCAA/57472/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3214,North Carolina,40,3,18.1,3.3,5.4,0.614,0,0,0,2.3,3.1,0.756,2,2.6,4.6,0.7,0.5,0.6,3,1.2,8.9,https://basketball.realgm.com/player/Isaiah-Hicks/NCAA/24324/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3219,Vanderbilt,28,25,27.4,3.1,7.7,0.403,0.9,3.3,0.28,1.8,2.5,0.69,1.8,5.5,7.3,1.5,0.5,3,2.4,1.1,8.9,https://basketball.realgm.com/player/Luke-Kornet/NCAA/56697/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3224,Southern Methodist,29,27,29.8,4.6,8.4,0.549,0,0,0,2.7,3.7,0.72,2.9,4.5,7.4,2.2,0.7,1.4,2.7,1.6,11.9,https://basketball.realgm.com/player/Ben-Moore/NCAA/56932/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3229,Virginia,35,35,33.2,3.5,8,0.439,2.2,4.6,0.487,1.7,2.2,0.803,0.4,2.6,3,4.4,1.1,0.1,1.3,1.8,11,https://basketball.realgm.com/player/London-Perrantes/NCAA/41329/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3234,Michigan,33,33,33.6,3.5,9.2,0.377,1.9,4.9,0.387,2.8,3.4,0.812,0.5,4.9,5.5,4.5,1.8,0.1,1.9,2,11.6,https://basketball.realgm.com/player/Derrick-Walton-Jr/NCAA/37900/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3239,UCLA,32,32,36.2,4.9,12.8,0.385,2.3,6.2,0.367,4,4.8,0.831,0.3,3.5,3.8,5.2,0.7,0,1.3,2,16.1,https://basketball.realgm.com/player/Bryce-Alford/NCAA/56839/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3244,Cincinnati,33,33,33.5,4.3,11.5,0.375,1.7,5.2,0.324,2.7,3.4,0.788,0.5,3.3,3.8,4.8,1.1,0.4,1.5,1.8,13,https://basketball.realgm.com/player/Troy-Caupain/NCAA/58524/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3249,Columbia,35,7,15,1.9,4,0.475,0.2,0.7,0.28,1.6,2.3,0.713,1.5,3.1,4.7,0.5,0.4,0.4,2.1,0.6,5.7,https://basketball.realgm.com/player/Jeff-Coby/NCAA/57319/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3254,William & Mary,30,30,29.6,4.4,11,0.401,2.3,6.6,0.354,1.4,1.9,0.724,0.3,3.5,3.8,1.8,0.5,0.7,2,1.4,12.5,https://basketball.realgm.com/player/Daniel-Dixon/NCAA/58222/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
3259,DePaul,30,30,28,3.9,9.8,0.395,0.9,3.4,0.277,3.9,4.8,0.819,0.3,2.7,2.9,3.5,0.7,0.3,2.7,2.5,12.6,https://basketball.realgm.com/player/Billy-Garrett/NCAA/41395/2016/By_Season/Per_Game,Undrafted,2015-16,1/1/2015,1/1/2016
0,Washington,25,25,35.7,8.4,17.6,0.476,2.1,5,0.413,4.4,6.7,0.649,1.3,4.4,5.7,5.9,1.6,1.2,2.5,3.2,23.2,https://www.sports-reference.com/cbb/players/markelle-fultz-1.html,Drafted,2016-17,1/1/2016,1/1/2017
1,UCLA,36,36,35.1,5.3,9.5,0.551,2.2,5.4,0.412,1.8,2.7,0.673,0.9,5.1,6,7.6,1.8,0.8,1.8,2.5,14.6,https://www.sports-reference.com/cbb/players/lonzo-ball-1.html,Drafted,2016-17,1/1/2016,1/1/2017
2,Duke,29,27,33.3,5.7,12.6,0.452,1.4,4,0.342,4.1,4.8,0.849,1.3,6,7.3,2.1,1.3,1.1,3,2.6,16.8,https://www.sports-reference.com/cbb/players/jayson-tatum-1.html,Drafted,2016-17,1/1/2016,1/1/2017
3,Kansas,35,35,30.8,6.3,12.3,0.513,1,2.6,0.378,2.8,4.9,0.566,2.3,5.1,7.4,3,1.7,1.1,3,2.8,16.3,https://www.sports-reference.com/cbb/players/josh-jackson-2.html,Drafted,2016-17,1/1/2016,1/1/2017
4,Kentucky,36,34,29.6,5.9,12.4,0.479,0.5,1.9,0.246,4.3,5.9,0.736,0.6,3.4,4,4.6,1.5,0.2,2.5,2.4,16.7,https://www.sports-reference.com/cbb/players/deaaron-fox-1.html,Drafted,2016-17,1/1/2016,1/1/2017
5,Florida State,32,32,26.2,4.1,8,0.508,1,2.8,0.348,2.9,3.7,0.78,1.8,6.1,7.8,1.2,1.2,1.5,2.2,1.5,12,https://www.sports-reference.com/cbb/players/jonathan-isaac-1.html,Drafted,2016-17,1/1/2016,1/1/2017
6,Arizona,37,37,30.8,5,10.2,0.492,1.9,4.4,0.423,3.7,4.4,0.835,2.4,4.8,7.2,0.9,0.4,0.5,2,1.1,15.6,https://www.sports-reference.com/cbb/players/lauri-markkanen-1.html,Drafted,2016-17,1/1/2016,1/1/2017
7,NC State,32,32,34.8,6,13.1,0.455,1.7,4.8,0.359,4.5,6.3,0.715,0.8,3.8,4.6,6.2,1.9,0.4,2.1,3.4,18.1,https://www.sports-reference.com/cbb/players/dennis-smithjr-1.html,Drafted,2016-17,1/1/2016,1/1/2017
9,Duke,37,36,35.5,6.4,13.1,0.489,2.4,5.4,0.438,4.3,5.1,0.856,1.2,3.9,5.1,2.5,0.8,0.4,2.2,1.6,19.5,https://www.sports-reference.com/cbb/players/luke-kennard-1.html,Drafted,2016-17,1/1/2016,1/1/2017
11,Louisville,34,33,32.3,5.3,13.1,0.408,2.4,6.6,0.354,2.6,3.2,0.806,1.1,3.8,4.9,2.7,2.1,0.5,2.6,1.6,15.6,https://www.sports-reference.com/cbb/players/donovan-mitchell-1.html,Drafted,2016-17,1/1/2016,1/1/2017
12,Kentucky,38,38,30.1,4.5,7.5,0.599,0,0,,4.1,6.2,0.653,3.1,4.9,8,0.8,0.7,1.5,2.6,1.7,13,https://www.sports-reference.com/cbb/players/edrice-adebayo-1.html,Drafted,2016-17,1/1/2016,1/1/2017
13,Creighton,35,34,25.3,5.7,8.5,0.676,0.2,0.4,0.533,1.3,2.5,0.517,1.7,4.5,6.2,1.2,0.9,1.4,2.7,1.7,12.9,https://www.sports-reference.com/cbb/players/justin-patton-1.html,Drafted,2016-17,1/1/2016,1/1/2017
16,Michigan,38,36,30.4,4.3,8,0.538,1.1,2.9,0.373,1.3,1.6,0.833,1.5,3.8,5.3,1.3,0.5,1.5,1.9,1.1,11,https://www.sports-reference.com/cbb/players/dj-wilson-1.html,Drafted,2016-17,1/1/2016,1/1/2017
17,UCLA,35,35,29.9,6.7,10.9,0.617,0.8,1.7,0.466,2.1,3,0.679,2.2,6,8.2,2.4,0.6,1.1,2.5,1.5,16.3,https://www.sports-reference.com/cbb/players/tj-leaf-1.html,Drafted,2016-17,1/1/2016,1/1/2017
19,Wake Forest,33,33,26.6,7.1,11.4,0.622,0,0,0,5,6.7,0.745,3.8,6.1,9.8,0.5,0.6,1.6,3,1.8,19.2,https://www.sports-reference.com/cbb/players/john-collins-1.html,Drafted,2016-17,1/1/2016,1/1/2017
20,Duke,26,6,11.5,1.7,3,0.577,0,0,,0.5,0.9,0.5,1.6,2.3,3.8,0.3,0.3,0.7,2.2,0.7,3.9,https://www.sports-reference.com/cbb/players/harry-giles-1.html,Drafted,2016-17,1/1/2016,1/1/2017
21,Texas,33,33,32.2,5.4,9.6,0.566,0,0.2,0,2.5,4.5,0.564,3,5.4,8.4,0.8,0.6,1.5,2.1,2.5,13.4,https://www.sports-reference.com/cbb/players/jarrett-allen-1.html,Drafted,2016-17,1/1/2016,1/1/2017
23,Indiana,16,10,25.1,4.3,7.6,0.557,0.9,2.8,0.311,1.7,3,0.563,1.8,3.7,5.4,1.4,1.3,1.3,2.1,1.6,11.1,https://www.sports-reference.com/cbb/players/og-anunoby-1.html,Drafted,2016-17,1/1/2016,1/1/2017
25,Syracuse,34,34,36.1,4.4,9.4,0.473,1.4,3.6,0.395,2.9,3.4,0.836,2.3,6.3,8.6,2.1,1,1.4,2.5,1.7,13.2,https://www.sports-reference.com/cbb/players/tyler-lydon-1.html,Drafted,2016-17,1/1/2016,1/1/2017
28,Utah,29,29,30.8,6.3,12.4,0.504,0.9,2.9,0.321,2.9,4.4,0.669,2.8,6.6,9.3,2.4,0.6,0.5,1.6,2.1,16.4,https://www.sports-reference.com/cbb/players/kyle-kuzma-1.html,Drafted,2016-17,1/1/2016,1/1/2017
